set_num,cut_num,pred
evalset_01,2,37.45268929426536
evalset_01,3,45.60874406297356
evalset_01,4,49.28830872476805
evalset_01,5,54.42955330935707
evalset_01,6,60.05487172522517
evalset_01,7,67.22537153072886
evalset_01,8,70.04378363379102
evalset_01,9,76.27250234611853
evalset_01,10,80.3872726699802
evalset_01,11,85.54798803397973
evalset_01,12,91.22624677243354
evalset_01,13,96.44188557319892
evalset_01,14,102.08107222801108
evalset_01,15,106.94807999593768
evalset_01,16,112.24338708428515
evalset_01,17,116.19914125783248
evalset_01,18,122.78234468152375
evalset_01,19,128.22458052166763
evalset_01,20,131.88225496536424
evalset_01,21,137.7529828060613
evalset_01,22,142.30390351100004
evalset_01,23,146.91600920994233
evalset_01,24,151.39588365156618
evalset_01,25,156.33997927116127
evalset_01,26,161.78891227793994
